Sr. No.,Name of Insurance Co.,State,City,Provider Name,Category,Address,Pin Code,Tel Area,Tel No.,Fax No.,Not Servicing to,Provider
,,,r,,,,,,,,,
406,PSU-United India Insurance Company,Bihar,Muzaffarpu,MAZZAFARPUR HEART HOSPITAL &,Hospital,"Bank Rd, Near Adarsha Vidya Mandir",842001,621,2265089,0,,11376
,,,r,RESEARCH CENTRE PVT LTD,,"School,Muzaffarpur,,0",,,,,,
407,PSU-United India Insurance Company,Bihar,Muzaffarpu,MISHRA MULTIPSPECIALITY HOSPITAL,Hospital,"Juran Chhapra,,Rd. No-4,,Muzaffarpur,",842001,621,2214178,2214178,,11828
,,,r,PVT. LTD.,,,,,,,,
408,PSU-United India Insurance Company,Bihar,Nalanda,APEX HOSPITAL(JALANDHAR),Hospital,"Khandarpark,,Biharsarif,,",803101,0,0,,,75432
409,PSU-United India Insurance Company,Bihar,Nalanda,APOLLO SURGICAL & UROLOGY,Hospital,"Near Govt.Bus Stand,,Biharsarif,,",803101,6112,232074,,,71250
,,,,CENTER,,,,,,,,
410,PSU-United India Insurance Company,Bihar,Nawada,LIFE LINE NURSING HOME(NAWADA),Hospital,"Purari Jail Road,,,",805110,0,0,,,12303
411 PSU-United India Insurance Company,,Bihar,Patna,AASTHA LOK HOSPITAL PVT.LTD,Hospital,"N/4, Professor Colony, Near Kendriya",800020,612,3212153 / 3212154,2353469,,81957
,,,,,,"Vidyalaya,,Kankarbagh,,Patna",,,,,,
412,PSU-United India Insurance Company,Bihar,Patna,HEART HOSPITAL PVT.LTD.(PATNA),Hospital,"Chandralaya ,,Doctors Colony,In Front Of Central",800020,612,2346606 / 2367997,2356202,,1726
,,,,,,"School,Kankarbagh",,,,,,
413,PSU-United India Insurance Company,Bihar,Patna,JAGDISH MEMORIAL HOSPITAL,Hospital,"Behind Geological Survey Of India,Lohiya Nagar,",800020,612,2361414,0,,6372
414,PSU-United India Insurance Company,Bihar,Patna,L.B APRAJITA HOSPITAL(PATNA),Hospital,"Laxmi Nivas,West Chanal Road,",800001,612,2558984,,,11959
415,PSU-United India Insurance Company,Bihar,Patna,MAGADH HOSPITAL(PATNA),Hospital,"Rajendra Nagar,Road No. 2-B,Near Nala Road Petrol",800016,612,2691515 / 2691500,2690632,,1689
,,,,,,"Pump,Patna",,,,,,
416,PSU-United India Insurance Company,Bihar,Patna,PARAS HMRI HOSPITAL,Hospital,"Balley Road,,Raja Bazar,Opp State Bank Of India",880014,612,7107700,7107766,,89539
417,PSU-United India Insurance Company,Bihar,Patna,RUBAN MEMORIAL HOSPITAL( RATAN,Hospital,"19 Patliputra Colony,,Near Patliputra Golambar,Patna",800013,612,2270097/2270059,2270016,,1835
,,,,STONE CLINIC),,,,,,,,
418,PSU-United India Insurance Company,Bihar,Patna,SAHYOG HOSPITAL (PATNA),Hospital,"40, Pataliputra Colony ,,,Patna",800013,612,262642 /260261,260261,,678
419,PSU-United India Insurance Company,Bihar,Patna,SHAYAMAL HOSPITAL PVT. LTD.,Hospital,"Maurya Path,Baily Road, Maurya Path,Khajpura",800014,612,2585893/2587894/2589088,,,2300
420,PSU-United India Insurance Company,Bihar,Patna,SHRI SAI HOSPITAL(PATNA),Hospital,Plot Ds/2 Behind Geological Survey Of India Sai,800020,612,2360236-37,2360237,,11383
,,,,,,"Hos,Chowk West Of Rajendra Nagar Over Bridge",,,,,,
,,,,,,"Kankarbagh,Near Mahendra Lok Apatment",,,,,,
421,PSU-United India Insurance Company,Bihar,Patna,SRI RAM HOSPITAL,Hospital,"N C -1-C, Lohiya Nagar,,Kankarbagh,,Patna",800020,612,6944450/ 07677467295 /,2366643,,3386
,,,,,,,,,98350-64677,,,
422,PSU-United India Insurance Company,Bihar,Purnea,DR. CHAUDHARY HOSPITAL RESEARCH,Hospital,"Bihar Talkies Road,,,Line Bazar",854301,6454,0,0,,7689
,,,,INSTITUTE,,,,,,,,
423,PSU-United India Insurance Company,Bihar,Purnea,LAXMI SEVA SADAN,Hospital,"Line Bazar Nm-31,,",854301,0,09430968999,0,,11932
424,PSU-United India Insurance Company,Bihar,Purnea,SAURAV NURSING HOME,Hospital,"Behind Line Bazar,,Nh-31,,",854301,6454,229803,0,,11840
425,PSU-United India Insurance Company,Bihar,Saharsha,M/S GAYATRI NURSING,Hospital,"Gangajala Chowk, Ramesh Road,,Ward No. 19,",852201,6478,0,,,12034
,,,,HOME(SAHARASA),,,,,,,,
426,PSU-United India Insurance Company,Bihar,Saharsha,SURYA HOSPITAL (SAHARSHA),Hospital,"Ashok Cinema Road,,Satsang Mandir Road,,Gandhi",850020,6478,222244,0,,9288
,,,,,,"Path,",,,,,,
427,PSU-United India Insurance Company,Bihar,Samastipur,BHAWANI NURSING HOME,Hospital,"Kashipur,,",845401,6274,222712,,,40838
428,PSU-United India Insurance Company,Bihar,Samastipur,GANGA RAM HOSPITAL (SAMASTIPUR),Hospital,"Kashipur Girl'S High School,,Samastipur,,",848101,6274,225217,,,11830
429,PSU-United India Insurance Company,Bihar,Samastipur,MAA TARA NURSING,Hospital,"Bahadurpur,,Samastipur,,",848101,6274,0,,,11829
,,,,HOME(SAMASTIPUR),,,,,,,,
430,PSU-United India Insurance Company,Bihar,Sitamarhi,NANDIPIT MEMORIAL HOSPITAL,Hospital,"Lumbra Rod,,,",843302,6226,250589,,,12426
431,PSU-United India Insurance Company,Bihar,Sitamarhi,SRI KRISHNA NURSING,Hospital,"Ganesh Cinema Road,,Court Bazar",843302,6226,252224,,,12428
,,,,HOME(SITAMARHI),,,,,,,,
432,PSU-United India Insurance Company,Chandigarh,Chandigarh,ARYA HOSPITAL PRIVATE LIMITED,Hospital,"Sco 801,,Manimajra, U. T.,Chandigarh",160101,172,4630440,4630442,,1348
433,PSU-United India Insurance Company,Chandigarh,Chandigarh,BHC HOSPITAL,Hospital,"1851/1,Samadhi Gate Manimajra,Chandigarh",160101,172,560775,4673912,,626
434,PSU-United India Insurance Company,Chandigarh,Chandigarh,CENTRE FOR SIGHT PRIVATE LIMITED,Hospital,"Sco. 809-810, Sector 22a,,Opp. Prade Ground,",160022,172,2720965,2722433,,11431
,,,,(CHANDIGARH),,,,,,,,
435,PSU-United India Insurance Company,Chandigarh,Chandigarh,GREWAL EYE INSTITUTE,Hospital,"S C O 168 - 169, Sector 9 - C,,Madhya",160009,172,2747118 / 5018969,2744843,,4340
,,,,,,"Marg,,Chandigarh",,,,,,
436,PSU-United India Insurance Company,Chandigarh,Chandigarh,GROVER EYE LASER & E.N.T. HOSPITAL,Hospital,"#140,,Sector 35-A,,Chandigarh",160022,172,2603323/2660040,4647461,,2362
437,PSU-United India Insurance Company,Chandigarh,Chandigarh,INSCOL HOSPITAL,Hospital,"Sco 18-19 ,,Sector 34-A,,Chandigarh",160022,172,5088883,4610410,,630
438,PSU-United India Insurance Company,Chandigarh,Chandigarh,MAGNUM HOSPITAL,Hospital,"H. No. 2103, Sec. 35c,Near Congress",160036,172,2661789 / 2600931,2600931,,4218
,,,,,,"Bhawan,Chandigarh",,,,,,
439,PSU-United India Insurance Company,Chandigarh,Chandigarh,RAMESHWARA HOSPITAL PVT.LTD.,Hospital,"#,11 Sector Ii-A,,,",160011,172,2746396/ 2744918/2622176,2744918,,655
440,PSU-United India Insurance Company,Chandigarh,Chandigarh,VASAN EYE CARE (CHANDIGARH),Hospital,"House No.140 ,,,Sector 35-A",160022,172,2603323/2660040,4647461,,13112
441,PSU-United India Insurance Company,Chandigarh,Mohali,ACE HEART & VASCULAR INSTITUTE(A,Hospital,"Shavalik Hospital,,Sector 69,,Mohali",160055,172,2216868 / 5058888 / 5058899,2217890,,5038
,,,,UNIT OF PRIME CARDIAC CARE PVT,,,,,,,,
,,,,LTD),,,,,,,,
442,PSU-United India Insurance Company,Chandigarh,Mohali,CENTRE FOR SIGHT PRIVATE LIMITED,Hospital,"J. P. Hospital ,,35 Phase Vii, Sas Nagar,",160059,172,2266613,2227502,,11432
,,,,(MOHALI),,,,,,,,
443,PSU-United India Insurance Company,Chandigarh,Mohali,CHAWLA NURSING HOME & HOSPITAL,Nursing,"K. No. 1 & 2,,Phase-Vll, Sector 60,,Mohali",160055,172,2225978/670 978 / 670 879,5090646,,165
,,,,,Home,,,,,,,
444,PSU-United India Insurance Company,Chandigarh,Mohali,FORTIS HEART INSTITUTE,Hospital,"Sector 62, Phase 8,Sas Nagar,Mohali",160059,172,4692222 /5021222,4692221 / 4692205,,1977
445,PSU-United India Insurance Company,Chandigarh,Mohali,INDUS SUPER SPECIALITY HOSPITAL,Hospital,"Opp. D. C. Office,,Phase -I,,Sas Nagar,",160055,172,5094941/ 5044945,5044942,,69732
446,PSU-United India Insurance Company,Chandigarh,Mohali,IVY HEALTH AND LIFE SCIENCES PVT.,Hospital,"Sector-71,,Mohali",160071,172,7170000 / 5044339,5044339,,9775
,,,,LTD.,,,,,,,,
447 PSU-United India Insurance Company,,Chandigarh,Mohali,MAX SUPER SPECIALITY HOSPITAL,,Hospital,"Near Civil Hospital,Phase-6,",160055,172,6652000,6652555,,8642,
,,,,(CHD),,,,,,,,,,
448,PSU-United India Insurance Company,Chandigarh,Mohali,SHRI GURU HARKISHEN CHARITABLE,,Hospital,"Sector 77,,Opp. Sri Gurdwara Gur Shabad Prakash,",140308,160,5004885/5004624/5004613,5004687/2258411,,1818,
,,,,EYE HOSPITAL,,,"Akal Ashram, Sohana,Mohali",,,,,,,
449,PSU-United India Insurance Company,Chandigarh,Mohali,SILVER OAKS HOSPITAL (MOHALI),,Hospital,"Phase 9,Sector 63,,S.A.S Nagar,Mohali",160063,172,2211303 / 308,/ 5097112 /,5094124,1347,
,,,,,,,,,,113,,,,
450,PSU-United India Insurance Company,Chattisgarh,Bhilai,APOLLO BSR HOSPITALS,,Hospital,"Junwani Road,Smriti Nagar,Bhilai",490020,788,4085294,4085295/ 4085132,,73449,
451,PSU-United India Insurance Company,Chattisgarh,Bhilai,BHILAI NURSING HOME,,Nursing,"Sirsa Road,Opp. Maurya Talkies,,",490023,788,5030200,2356400,,144,
,,,,,,Home,,,,,,,,
452,PSU-United India Insurance Company,Chattisgarh,Bhilai,JAMUL NURSING HOME,,Hospital,"C. S.. E. B. Square'S, Nandini Road Jamul Bhilai,,Mig",490026,788,0,0,"DENA BANK,",62485,
,,,,,,,"V 2965 In Front Of Kali Bari Housing Board Colony,",,,,,,,
,,,,,,,"Industrial Estate,,In Front Of The Bus Stand",,,,,,,
453,PSU-United India Insurance Company,Chattisgarh,Bhilai,PRAGYA HOSPITAL (BHILAI),,Hospital,"Vijay Basant Complex,,,G.E. Road, Bhilai",490026,788,6454598,0,"DENA BANK,",10204,
454,PSU-United India Insurance Company,Chattisgarh,Bhilai,S. S. HOSPITAL (BHILAI),,Hospital,"Nandani Road,,Bhilai Pawer House,",490026,788,6561099,0,"DENA BANK,",10205,
455,PSU-United India Insurance Company,Chattisgarh,Bhilai,SHREE AMBE HOSPITAL,,Hospital,"G. E. Road, Power, Bhilai,Near Bihar Hotel,,Durg",490026,788,4086194,0,"DENA BANK,",10208,
456,PSU-United India Insurance Company,Chattisgarh,Bilaspur,APOLLO HOSPITALS-BILASPUR,,Hospital,"Lingyadih Village,Seepat Road,,Opposite Secl'S",495001,7752,243300-08/514803-05,401767/409999,,2474,
,,,,,,,"Vasant Vihar Colony,Bilaspur",,,,,,,
457,PSU-United India Insurance Company,Chattisgarh,Bilaspur,BILASPUR HOSPITAL-BILASPUR,,Hospital,"Jarhabhata Mandir Chowk Bilaspur(C.G),,",495001,7752,420765,0,"DENA BANK,",9917,
458,PSU-United India Insurance Company,Chattisgarh,Bilaspur,CARE N CURE MULTISPECIALITY,,Hospital,"Pratap Chowk, Near Old Arpa Bridge,,,Old Pratap",495001,7752,400036,+917305880720,"DENA BANK,",81017,
,,,,HOSPITAL,,,"Talkies,Bilaspur",,,,,,,
459,PSU-United India Insurance Company,Chattisgarh,Bilaspur,DUBEY,NURSING HOME(BILASPUR),Nursing,"Subesh Nagar Gondpara,Bilaspur(C.G),",495001,7752,229229,0,"DENA BANK,",44802,
,,,,,,Home,,,,,,,,
460,PSU-United India Insurance Company,Chattisgarh,Bilaspur,GAYATRI HOSPITAL(BILA),,Hospital,"Seepat Chowk In Front Of Sbi,Sarkanda Branch,Main",495001,7752,"656456,658044",0,"DENA BANK,",82891,
,,,,,,,"Road,,Sarkanda",,,,,,,
461,PSU-United India Insurance Company,Chattisgarh,Bilaspur,LATE KARTIKARAM SAO MEMORIAL,,Nursing,"Seepat Chowk Sarkanda Bilaspur,,Near Seepat Chowk",495001,7752,254180,0,"DENA BANK,",70400,
,,,,SURGICAL & ANDOSCOPY RESEARCH,,Home,,,,,,,,
,,,,CENTER,,,,,,,,,,
462,PSU-United India Insurance Company,Chattisgarh,Bilaspur,MOOLCHAND MEMORIAL,,Hospital,"C/O Dr.Aabha Varma,Juni Line","Bilaspur(C.G),,",495001,7752,423238,0,"DENA BANK,",10201
,,,,HOSPITAL(BILASPUR),,,,,,,,,,
463,PSU-United India Insurance Company,Chattisgarh,Bilaspur,OM NURSING HOME(DR USHA SHENDE),,Nursing,Om Nursing Home Ashok Nagar Seepat,495001,7752,326662,0,"DENA BANK,",10198,
,,,,,,Home,"Road,,Sarkanda Bilaspur(C.G),",,,,,,,
464,PSU-United India Insurance Company,Chattisgarh,Bilaspur,SHRI CHILDRENS HOSPITAL,,Hospital,"Near Cims Juni Lane Bilaspur,,Near Iddgah Chowk",491995,7752,236866 / 651201,0,"DENA BANK,",10199,
465,PSU-United India Insurance Company,Chattisgarh,Bilaspur,SHRIRAM CARE HOSPITAL,,Hospital,"Ameri Road, Infront Of Cseb Office,,,Nehru Nagar",495001,7752,271111/213413,0,,85440,
466,PSU-United India Insurance Company,Chattisgarh,Bilaspur,SHRIRAM HOSPITAL,,Hospital,"Tellipara Road,,Bilaspur",495001,7752,411453 / 220233,0,"INDIVIDUAL,DENA",2331,
,,,,,,,,,,,,"BANK,",,
467,PSU-United India Insurance Company,Chattisgarh,Dhamtari,ADITYA NURSING HOME(DHAMTARI),,Hospital,"Kacheri Chowk,,Sadar Bazar,,",493773,7722,231101 / 240545,0,"DENA BANK,",7997,
468,PSU-United India Insurance Company,Chattisgarh,Dhamtari,GUPTA HOSPITAL(MULTISPECIALITY,,Hospital,"Ratna Bandh Road,,Dhamtari-,",493773,7722,237361,,"DENA BANK,",7805,
,,,,RESEARCH & MATERNITY CENTRE),,,,,,,,,,
469,PSU-United India Insurance Company,Chattisgarh,Dhamtari,OJASVI NURSING HOME,,Nursing,"Rudri Road,,Gokulpur",493773,7722,235501,0,"DENA BANK,",52473,
,,,,,,Home,,,,,,,,
470,PSU-United India Insurance Company,Chattisgarh,Dhamtari,RAMESHWARAM HOSPITAL,,Hospital,"Vivekanand Nagar, Street 4,,Dock Bungalow",493773,7722,235611,0,"DENA BANK,",10164,
,,,,,,,"Word,,Aamdi Road",,,,,,,
471,PSU-United India Insurance Company,Chattisgarh,Durg,DEVIK NURSING HOME,,Hospital,"Sindhi Colony,,Station Road Durg,,Near Sindhu",491001,786,4040577,0,"DENA BANK,",10182,
,,,,,,,Bhavan,,,,,,,
472,PSU-United India Insurance Company,Chattisgarh,Durg,DR.SIDDIQUI'S EYE HOSPITAL,,Hospital,"Gurudwara Station Road,,,Near Gurudwara",491001,788,4083121,0,"DENA BANK,",60215,
473,PSU-United India Insurance Company,Chattisgarh,Durg,M. P. NURSING HOME,,Nursing,"Shankar Nagar Road,,Opp. Tarun Talkies, Station",491001,788,2324910,2322827,"INDIVIDUAL,DENA",303,
,,,,,,Home,"Road,,Durg",,,,,"BANK,",,
474,PSU-United India Insurance Company,Chattisgarh,Durg,SHREE BALAJI HOSPITAL (DURG),,Hospital,"Near Gayatri Mandir,,Kadambari Nagar,,Opp. Shakti",491001,771,0,0,"DENA BANK,",10200,
,,,,,,,"Nagar, Talab",,,,,,,
475,PSU-United India Insurance Company,Chattisgarh,Jagdalpur,BASTAR SEVA HOSPITAL,,Hospital,"New Bus Stand Road Jagdalpur Bastar(C.G),,",494001,7782,226002,0,"DENA BANK,",10184,
476,PSU-United India Insurance Company,Chattisgarh,Jagdalpur,KALE NURSING HOME(JAGDALPUR),,Hospital,"Chtrakot Road Dharampura Opp.Bajrang Mill,,Near To",494001,7782,229999,0,"DENA BANK,",10185,
,,,,,,,"Gayatri Temple,",,,,,,,
477,PSU-United India Insurance Company,Chattisgarh,Jagdishpur,SEWA BHAWAN HOSPITAL,,Hospital,Jadeeshpur Via Basna P.D Jagdeeshpur,493555,7724,272129,,"DENA BANK,",10202,
,,,,,,,"Dist.Mahasamund C.G,,",,,,,,,
478,PSU-United India Insurance Company,Chattisgarh,Jamul,SUVIDHA MULTISPECIALITY HOSPITAL,,Hospital,"Nandani Road, Khedamara,,,Near Khedamara Sub",490024,788,3202305,,"DENA BANK,",10231,
,,,,(JAMUL),,,Station,,,,,,,
479,PSU-United India Insurance Company,Chattisgarh,Kanker,SHRI RAM HOSPITAL & RESEARCH,,Hospital,"Main Road,,,Kanker",494334,7868,"494334,6652553,6652553",0,"DENA BANK,",10181,
,,,,CENTRE,,,,,,,,,,
480,PSU-United India Insurance Company,Chattisgarh,Kawardha,ROOP JEEVAN HOSPITAL,,Hospital,"Mahavir Swami Chowk,,",491995,7741,232518,0,"DENA BANK,",10196,
481 PSU-United India Insurance Company,,Chattisgarh,Kawardha,SNEHA CLINIC(KAWARDHA),Nursing,"Near Bus Stand,,0",,491995,7741,232516,0,"DENA BANK,",10197
,,,,,Home,,,,,,,,
482,PSU-United India Insurance Company,Chattisgarh,Korba,KORBA HOSPITAL,Hospital,"9,Kosabadi ,Korba(C.G),,",,495677,7759,226736,0,"DENA BANK,",57872
483,PSU-United India Insurance Company,Chattisgarh,Korba,SAHU HOSPITAL(KORBA),Hospital,"114 Transport Nagar,Korba,",,495677,7759,245744,0,"DENA BANK,",10163
484,PSU-United India Insurance Company,Chattisgarh,Korba,SAI KRIPA MULTISPECIALITY HOSPITAL,Hospital,"57, Power House Road,T.P. Nagar,Korba(C.G),",,495678,7759,246888,0,"DENA BANK,",10162
485,PSU-United India Insurance Company,Chattisgarh,Korba,SARWAMANGALA NURSING HOME,Hospital,Sr Mg,"98 Neharu Nagar,Korba Near Budhwari",495677,7759,0,0,"DENA BANK,",10161
,,,,,,"Bazar(C.G),",,,,,,,
486,PSU-United India Insurance Company,Chattisgarh,Raigarh-1,CITY HOSPITAL - RAIGARH,Hospital,"Kotra Road,,Raigarh",,496001,7762,235400,0,"DENA BANK,",9349
487,PSU-United India Insurance Company,Chattisgarh,Raigarh-1,FORTIS O.P. JINDAL HOSPITAL &,Hospital,"Po Box No 16,,Kharsia Road,,Patrapali",,496001,7762,227033 /227034,0,,10837
,,,,RESEARCH CENTRE,,,,,,,,,
488,PSU-United India Insurance Company,Chattisgarh,Raigarh-1,METRO HOSPTAL (RAIGARH INSTITUTE,Hospital,"Near Pahad Mandir Kahuakunda,,",,496001,7762,220666 / 220222,0,"DENA BANK,",86139
,,,,OF MEDICAL),,,,,,,,,
489,PSU-United India Insurance Company,Chattisgarh,Raipur,AAROGYA HOSPITAL & RESEARCH,Hospital,"Opp. Kuber Apartment,,Shankar Nagar To Lodhi Para",,492001,771,4044115 / 4265115,4281223,"DENA BANK,",62404
,,,,CENTRE PVT. LTD.,,"Chowk Road,,Near Ashok Tower",,,,,,,
490,PSU-United India Insurance Company,Chattisgarh,Raipur,AYUSHMAAN HOSPITAL DIAGNOSTIC &,Hospital,"Mahadeo Ghat Road,,,Sunder Nagar",,492013,771,2262840,0,"DENA BANK,",10167
,,,,RESEARCH INSTITUTE,,,,,,,,,
491,PSU-United India Insurance Company,Chattisgarh,Raipur,ESCORTS HEART CENTRE(RAIP),Hospital,Pt. J. N. M. Medical,"College,,,Raipur",492001,771,3089100,3089146,,3201
492,PSU-United India Insurance Company,Chattisgarh,Raipur,LIFEWORTH SUPERSPECIALITY,Hospital,"Samata Colony,Main Road,Raipur (C.G)",,492001,771,4065400,4065444,,2551
,,,,HOSPITAL,,,,,,,,,
493,PSU-United India Insurance Company,Chattisgarh,Raipur,MITTAL INSTITUTE OF MEDICAL,Hospital,"Infront Of Holy Cross School,,Avavti Bai",,492001,771,4014442 / 4094443,,"INDIVIDUAL,DENA",77883
,,,,SCIENCE,,"Chowk,,Pandari",,,,,,"BANK,",
494,PSU-United India Insurance Company,Chattisgarh,Raipur,NARAYANA HRUDAYALAYA MMI,Hospital,"Dhamtari Road,,,Lalpur",,492015,771,2419001-003,2412300,,8573
,,,,HOSPITAL,,,,,,,,,
495,PSU-United India Insurance Company,Chattisgarh,Raipur,RAIPUR HOSPTIAL,Hospital,"Kutchery Chowk,,",,492001,771,4214810,0,"DENA BANK,",10165
496,PSU-United India Insurance Company,Chattisgarh,Raipur,RAMKRISHNA CARE HOSPITAL(RAIPUR),Hospital,"Arabindo Enclave, Pachpedhi Naka,,Dhamtari Road, N",,492001,771,3003300/1/2/3,4004037,,26359
,,,,,,"H 43,,Raipur",,,,,,,
497,PSU-United India Insurance Company,Chattisgarh,Raipur,SHREE AUROBINDO NETHRALAYA,Hospital,"Near Ram Krishna Care Hospital,,Dhamtari",,492001,771,2411242 / 2411473,0,"DENA BANK,",10180
,,,,,,"Road,,Lalpur",,,,,,,
498,PSU-United India Insurance Company,Chattisgarh,Raipur,SHRI BALAJI SUPERSPECIALITY,Hospital,"Ekta Chowk,Dubey Colony,Mowa",,492010,771,"4218418,",4241099,"DENA BANK,",75547
,,,,HOSPITAL,,,,,,"4218518,4241000/01/02",,,
499,PSU-United India Insurance Company,Chattisgarh,Raipur,"SUYASH HOSPITAL, RAIPUR",Hospital,"Kota Gudhiyari Road,,Behind Hotel Picadily,Raipur",,492001,771,2575833/2575275,2575833,,37223
500,PSU-United India Insurance Company,Chattisgarh,Raipur,VARDAAN HOSPITAL-RAIPUR,Hospital,"Sector - 1, Shankar Nagar,Front Of: Ravishankar",,492001,771,2425778 / 79,427 0778,"DENA BANK,",9353
,,,,,,"Udyan,Near Shankar Nagar Garden",,,,,,,
501,PSU-United India Insurance Company,Chattisgarh,Raipur,VIDYA HOSPITAL & KIDNEY CENTRE,Hospital,"Shankar Nagar,Main Road,Raipur",,492007,771,"4055895 , 2426090 , 2421802",4281198,,493
502,PSU-United India Insurance Company,Chattisgarh,Rajnandga,CITY HOSPITAL & RESEARCH CENTRE,Hospital,"Lal Bag Street No.1,,Near Widner Memorial School,,",,491441,7744,"406090,224200",0,"DENA BANK,",51752
,,,on,(RAJNANDGAON),,,,,,,,,
503,PSU-United India Insurance Company,Chattisgarh,Rajnandga,PARAKH NURSING HOME,Hospital,"Lal Bag Rajnandgaon (C.G),,Rajnandgaon Ho.",,491441,7744,224747,0,"DENA BANK,",54224
,,,on,,,,,,,,,,
504,PSU-United India Insurance Company,Dadra And,Dadra &,SHREE SAINATH HOSPITAL (SILVASSA),Hospital,"1 Floor, Perin Complex,,Opposite Bal Bhavan,,Kilvani",,396230,260,6533955,2643095,,33936
,,Nagar,Nagar,,,Naka,,,,,,,
,,Haveli,Haveli,,,,,,,,,,
505,PSU-United India Insurance Company,Dadra And,Dadra &,SHRI SHREEJI HOSPITAL (SILVASSA),Hospital,"At.Smt.Ramaben General Hospital,,Bhumika City",,396230,260,2640122,2643355,,439
,,Nagar,Nagar,,,"Centre M.G.Road,Near Jain Temple",,,,,,,
,,Haveli,Haveli,,,,,,,,,,
506,PSU-United India Insurance Company,Dadra And,Dadra &,VARDHAMAN HOSPITAL,Hospital,"Opp. Development Credit Bank,,Naroli Road,Silvassa",,396230,260,2630769 / 2630796,2630769,,28568
,,Nagar,Nagar,,,,,,,,,,
,,Haveli,Haveli,,,,,,,,,,
507,PSU-United India Insurance Company,Daman And,Silvassa,PRAYOSHA HOSPITAL,Hospital,"1st Floor, Shree Rangkrupa Bldg,,Opp. Father Agnelo",,396230,260,2642709 / 2642708,2642708,,77457
,,Diu,,,,"School,,P W D Road",,,,,,,
508,PSU-United India Insurance Company,Delhi,Delhi,ADITYA VERMA MEDICAL CENTRE,Hospital,"32 Chitra Vihar Vikas Marg,,Bhd. Laxmi Nagar,,Delhi",,110092,11,22448008 / 22043839,52440108/42440108,,4113
509,PSU-United India Insurance Company,Delhi,Delhi,BRAHM SHAKTI HOSPITAL & RESEARCH,Hospital,"U - 1/78, Budh Vihar,,Delhi",,110086,11,27531683 / 27537967 /,27532092,,31919
,,,,CENTRE.,,,,,,27537894,,,
510,PSU-United India Insurance Company,Delhi,Delhi,CAPITAL NURSING HOME,Nursing,"E 5/35, Krishna Nagar,,Near Jain Mandir,Delhi",,110051,11,22091337 / 22091334,22092919,,3888
,,,,,Home,,,,,,,,
511,PSU-United India Insurance Company,Delhi,Delhi,DELHI HEART HOSPITAL,Hospital,"176, Jagriti Enclave,Vikas Marg Extension, Near",,110092,11,22151234 /7272/ 22167272,22149292,,2010
,,,,,,"Anand Vihar Colony,Delhi",,,,,,,
512,PSU-United India Insurance Company,Delhi,Delhi,DHARAMSHILA CANCER HOSPITAL AND,Hospital,"Dharamshila Marg,,Vasundhara Enclave, Between",,110096,11,43066353/43066524/2261777,22617770,,3361
,,,,RESEARCH CENTRE,,"Mayur Vihar & Noida,Delhi",,,,1-75,,,
513 PSU-United India Insurance Company,,Delhi,Delhi,DR. GUPTA NURSING HOME &,Hospital,"25, Raj Block,,Naveen Shahdara,,Delhi",110032,11,22322218,22321622,,4087
,,,,HOSPITAL,,,,,,,,
514,PSU-United India Insurance Company,Delhi,Delhi,DR.MUKESH ORTHOPAEDIC & TRAUMA,Nursing,"2374 - T (21a) Mandi Extn.,,Near Corporation",110040,11,27285280,27285280,,53232
,,,,CENTRE,Home,"Bank,,Narela",,,,,,
515,PSU-United India Insurance Company,Delhi,Delhi,GANDHI NURSING HOME(DELHI),Hospital,"C-50,Om Vihar,,Uttam Nagar,Near Bank Of",110059,11,"25335135,25335099,",25333179,,2437
,,,,,,"Baroda,Delhi",,,25333179/799,,,
516,PSU-United India Insurance Company,Delhi,Delhi,HOLY CHILD NURSING HOME.,Hospital,"C-43-44 , East Karishma Nagar,Opp. Swarnam",110051,11,22002819,22096924,,41715
,,,,,,"Cinema , Karishma Nagar,Delhi",,,,,,
517,PSU-United India Insurance Company,Delhi,Delhi,JAIN HOSPITAL ( VIKAS ENCLAVE - NEW,Hospital,"177-178,Jagriti Enclave,,Vikas Marg,,Vikas Enclave",110092,11,43055355/ 22144946/,22161561,,2420
,,,,DELHI ),,,,,"22146442,22144465",,,
518,PSU-United India Insurance Company,Delhi,Delhi,JEEVAN ANMOL HOSPITAL,Hospital,"Mayur Vihar Phase-I,,Opp.Pratap Nagar,,Delhi",110091,11,22750380/22795237,22755993,,2199
519,PSU-United India Insurance Company,Delhi,Delhi,JEEVAN JYOTI CLINIC AND HOSPITAL (,Hospital,"118-A, G T B Chowk,,Dilshad Garden,In Front Of Guru",110095,11,22118026/ 22582719,22123901,,2359
,,,,DILSHAD GARDEN - DELHI ),,"Teg Bahadur Hospital & University College O,Delhi",,,,,,
520,PSU-United India Insurance Company,Delhi,Delhi,KARUNA HOSPITAL(DELHI),Hospital,"D-62, Dilshad Colony,,Near Bus Stand Of Seemapuri,,",110095,11,22354235,22355343/22352443,,83128
521,PSU-United India Insurance Company,Delhi,Delhi,KESAR HOSPITAL (DELHI),Hospital,"A H - 11 ,Shlimar Bagh,,Near Prabhu Dayal Public",110088,11,27478822/27472002,27472002,,1367
,,,,,,"School,Delhi",,,,,,
522,PSU-United India Insurance Company,Delhi,Delhi,KHANDELWAL HOSPITAL & UROLOGY,Hospital,"B-16,Main Road,,East Krishna Nagar,,Delhi",110051,11,22094843/22094844,22094845/45661380,,35171
,,,,CENTRE,,,,,,,,
